dataset	method	n	rmse_mean	rmse_var	rmse_min	score_mean	score_var	score_min
FD001	A	10	14.5523271561	0.3507752084	13.1480035782	367.5008636475	3957.9128483247	281.0731201172
FD001	B	10	14.2427167892	0.4170133729	13.3921623230	344.9068908691	1219.7805532495	304.4079589844
FD001	C	10	15.0084259987	1.3521575560	13.8791208267	418.3791198730	12086.3411100697	297.0312500000
FD001	D	10	14.1674334526	0.3738283728	13.3603887558	345.9424011230	2889.5614738265	268.6666564941
FD001	E	10	16.6592668533	0.5488285160	15.6952219009	730.7228210449	16650.1858170003	613.7205200195
FD001	F	10	14.1333012581	0.2467933950	13.1681432724	342.8312713623	1801.2625834624	275.9438781738
FD002	A	10	13.4080091476	0.0781863251	12.9924240112	907.1589904785	2591.6633482750	833.9685058594
FD002	B	10	13.2578745842	0.1326225579	12.8344068527	984.0568725586	12373.1504162206	833.0857543945
FD002	C	10	13.5785208702	0.2647004003	12.4797906876	984.7100524902	23801.6853996413	743.8377075195
FD002	D	10	13.5996124268	0.1683006457	13.1076622009	996.3147094727	15403.2503190672	814.3164672852
FD002	E	10	35.7901313782	1.1313841820	33.7895507812	59513.8613281250	405665357.8324165344	37912.1757812500
FD002	F	10	13.2532615662	0.0788578646	12.7092523575	988.3957763672	9424.5934250863	850.3304443359
FD003	A	10	14.8486423492	0.1198211946	14.2758541107	1033.9005432129	44116.1395112554	743.2193603516
FD003	B	10	15.4577178955	0.1029567121	14.9769821167	1300.1508056641	27909.9532062596	1028.8046875000
FD003	C	10	17.0329916954	0.9521887978	15.6834306717	1356.7983032227	15930.5204960497	1150.9843750000
FD003	D	10	14.5799763680	0.1752898719	14.1053180695	989.4106079102	27936.3662005165	750.9403076172
FD003	E	10	15.7194087982	0.3981867118	14.9876613617	1081.9264831543	138148.8208298856	707.7030029297
FD003	F	10	15.2819832802	0.3459852180	14.2779550552	1219.8731689453	32384.3608244926	894.5797119141
FD004	A	10	18.1581611633	0.4170752464	17.0274925232	2300.9609619141	399087.3959720188	1674.3322753906
FD004	B	10	17.4260129929	0.1167309695	16.7623329163	1941.9539062500	106065.9515457100	1516.4006347656
FD004	C	10	18.7095510483	1.3345501426	17.3940334320	2598.4029541016	535615.5460342675	1683.5690917969
FD004	D	10	17.9617078781	0.1347130399	17.4155807495	2042.2691406250	47642.8340840870	1717.2115478516
FD004	E	10	39.9704757690	0.8824527697	38.8135528564	108294.8562500000	377512960.0628686547	79862.2812500000
FD004	F	10	17.2075563431	0.0725934083	16.8593578339	1834.1090332031	55777.0748609328	1400.6003417969
